epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1982,1.32634,3.01281,1.10575,0.02976,0.96154,0.25663,0.18157,1.021,3.01668,0.90621,0.00024,0.00024,0.00024
2,25.5487,0.84551,0.97047,0.88379,0.95658,0.16947,0.65927,0.3409,1.38157,2.81254,1.05213,0.0004901,0.0004901,0.0004901
3,39.3281,0.72989,0.7479,0.85522,0.66038,0.31413,0.4565,0.33869,0.8295,2.43061,0.85904,0.000729904,0.000729904,0.000729904
4,51.7268,0.76795,0.68395,0.85294,1,0.58463,0.95866,0.75483,0.80254,1.97849,0.83526,0.000959412,0.000959412,0.000959412
5,64.6416,0.66613,0.61243,0.83199,0.97953,0.85385,0.96072,0.77687,0.7673,1.58016,0.82679,0.00117862,0.00117862,0.00117862
6,76.8485,0.66822,0.59142,0.83793,0.89577,0.85947,0.97355,0.77399,0.7516,1.47834,0.80719,0.00138754,0.00138754,0.00138754
7,89.7745,0.67535,0.59395,0.84192,0.98213,0.96154,0.99395,0.82849,0.61508,1.22809,0.80691,0.00158616,0.00158616,0.00158616
8,103.71,0.6565,0.57497,0.83532,0.94111,0.9835,0.9778,0.84088,0.57809,0.8466,0.80392,0.0017228,0.0017228,0.0017228
9,116.787,0.62176,0.54684,0.82998,0.99225,0.94615,0.98985,0.84692,0.51213,0.70608,0.79654,0.0016832,0.0016832,0.0016832
10,130.514,0.6041,0.52109,0.82586,0.99952,0.96154,0.99073,0.85446,0.58215,0.56859,0.80709,0.0016436,0.0016436,0.0016436
11,144.175,0.62007,0.51575,0.8295,0.9976,0.96154,0.99417,0.87679,0.50724,0.55866,0.79694,0.001604,0.001604,0.001604
12,158.351,0.55448,0.48689,0.82109,0.99211,0.9667,0.99367,0.89433,0.4718,0.53827,0.79608,0.0015644,0.0015644,0.0015644
13,171.592,0.5092,0.47599,0.81798,0.99211,0.9677,0.99332,0.90371,0.41795,0.52465,0.78026,0.0015248,0.0015248,0.0015248
14,185.607,0.50308,0.45528,0.81486,0.99782,0.96154,0.99388,0.91657,0.41083,0.48395,0.77794,0.0014852,0.0014852,0.0014852
15,199.548,0.49783,0.44023,0.81351,0.97684,0.99231,0.99432,0.91055,0.38236,0.44194,0.77887,0.0014456,0.0014456,0.0014456
16,214.371,0.4599,0.42718,0.81466,0.97299,0.99231,0.99431,0.91971,0.38797,0.46025,0.78023,0.001406,0.001406,0.001406
17,227.796,0.45698,0.42605,0.80688,0.98433,0.96613,0.99379,0.91963,0.39623,0.43274,0.78399,0.0013664,0.0013664,0.0013664
18,241.713,0.45841,0.41538,0.80998,0.9772,0.98896,0.99408,0.91806,0.41743,0.44275,0.78188,0.0013268,0.0013268,0.0013268
19,255.017,0.47653,0.41617,0.81507,0.94828,0.99231,0.99341,0.91803,0.40886,0.43275,0.78199,0.0012872,0.0012872,0.0012872
20,268.87,0.44585,0.40356,0.80895,0.97677,0.97043,0.9938,0.92484,0.38021,0.40648,0.77926,0.0012476,0.0012476,0.0012476
21,282.707,0.43038,0.39196,0.80733,1,0.96069,0.9941,0.91081,0.37721,0.3974,0.77623,0.001208,0.001208,0.001208
22,297.387,0.43165,0.38702,0.80507,0.98412,0.98462,0.99433,0.92947,0.36512,0.40842,0.76756,0.0011684,0.0011684,0.0011684
23,310.1,0.42015,0.38578,0.80403,0.98792,0.97692,0.99439,0.94058,0.33239,0.38097,0.76531,0.0011288,0.0011288,0.0011288
24,322.389,0.4051,0.36828,0.80606,1,0.96003,0.99424,0.9411,0.36568,0.36823,0.77362,0.0010892,0.0010892,0.0010892
25,334.568,0.40732,0.3635,0.8033,0.99181,0.99231,0.99477,0.94448,0.35474,0.39912,0.77134,0.0010496,0.0010496,0.0010496
26,346.919,0.40193,0.3624,0.8008,0.97726,0.99178,0.99432,0.94209,0.34489,0.36944,0.77381,0.00101,0.00101,0.00101
27,359.145,0.38293,0.35364,0.79921,0.96915,0.99231,0.9941,0.94021,0.3345,0.37761,0.7701,0.0009704,0.0009704,0.0009704
28,371.296,0.40027,0.35549,0.80279,0.98458,0.98263,0.99439,0.94939,0.31414,0.35885,0.77268,0.0009308,0.0009308,0.0009308
29,383.598,0.39784,0.35125,0.80461,0.98529,0.97692,0.99409,0.93281,0.32598,0.374,0.77596,0.0008912,0.0008912,0.0008912
30,395.841,0.38408,0.34276,0.80083,0.98356,0.97692,0.99403,0.9464,0.3104,0.35122,0.77023,0.0008516,0.0008516,0.0008516
31,408.095,0.39633,0.34826,0.80495,1,0.96768,0.99396,0.93491,0.31702,0.35483,0.77156,0.000812,0.000812,0.000812
32,420.509,0.36961,0.33396,0.80151,1,0.96889,0.99432,0.94907,0.31704,0.34549,0.77034,0.0007724,0.0007724,0.0007724
33,432.571,0.36531,0.32853,0.79879,0.99998,0.96923,0.99403,0.93751,0.32332,0.33776,0.7747,0.0007328,0.0007328,0.0007328
34,444.648,0.36408,0.33007,0.80101,0.9983,0.96154,0.99395,0.95116,0.29994,0.31974,0.77057,0.0006932,0.0006932,0.0006932
35,456.895,0.37216,0.3277,0.79628,1,0.96621,0.99432,0.95166,0.30305,0.34158,0.76881,0.0006536,0.0006536,0.0006536
36,469.106,0.35254,0.31691,0.7966,0.98473,0.99191,0.99462,0.94799,0.30899,0.33552,0.76594,0.000614,0.000614,0.000614
37,481.022,0.35587,0.31732,0.79834,0.98473,0.99184,0.99454,0.96026,0.28039,0.31426,0.76107,0.0005744,0.0005744,0.0005744
38,493.051,0.344,0.31495,0.79409,0.98473,0.99183,0.99462,0.95729,0.27495,0.30134,0.76071,0.0005348,0.0005348,0.0005348
39,504.88,0.34392,0.31573,0.79447,0.98471,0.9909,0.99462,0.95567,0.3127,0.31575,0.76329,0.0004952,0.0004952,0.0004952
40,516.904,0.33961,0.3116,0.79482,0.9981,0.96154,0.99432,0.94953,0.2844,0.31086,0.7652,0.0004556,0.0004556,0.0004556
41,528.276,0.31358,0.3149,0.78687,0.98472,0.99144,0.99446,0.95641,0.27083,0.34705,0.76136,0.000416,0.000416,0.000416
42,539.562,0.30618,0.3099,0.78808,0.98473,0.99183,0.99454,0.95797,0.27957,0.33087,0.76083,0.0003764,0.0003764,0.0003764
43,550.957,0.30614,0.29687,0.78321,0.98472,0.99174,0.99462,0.96056,0.29715,0.32093,0.76234,0.0003368,0.0003368,0.0003368
44,562.495,0.29545,0.29324,0.78203,0.98471,0.99104,0.99462,0.966,0.25669,0.31237,0.76062,0.0002972,0.0002972,0.0002972
45,573.829,0.27966,0.28249,0.78498,0.98304,0.99231,0.99462,0.96684,0.25741,0.30688,0.76099,0.0002576,0.0002576,0.0002576
46,585.003,0.27175,0.27495,0.78659,0.99211,0.97692,0.99432,0.95619,0.25715,0.29971,0.76209,0.000218,0.000218,0.000218
47,596.104,0.27004,0.27224,0.77716,0.99224,0.98375,0.99469,0.95785,0.25994,0.28868,0.76289,0.0001784,0.0001784,0.0001784
48,607.34,0.27366,0.27338,0.78066,0.99222,0.98164,0.9944,0.96547,0.25183,0.29523,0.76004,0.0001388,0.0001388,0.0001388
49,618.417,0.26275,0.2706,0.78499,0.99218,0.96923,0.99432,0.96763,0.24314,0.28962,0.76006,9.92e-05,9.92e-05,9.92e-05
50,629.546,0.26236,0.26897,0.78426,0.99233,0.96923,0.99433,0.96874,0.23396,0.28626,0.75884,5.96e-05,5.96e-05,5.96e-05
