epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.638,0.96348,2.02892,0.96084,0.99207,0.44445,0.86231,0.71568,0.70537,2.10352,0.84019,0.0004,0.0004,0.0004
2,155.56,0.67506,0.79089,0.86397,0.99253,0.7084,0.92253,0.78064,0.62079,1.83222,0.84804,0.000803764,0.000803764,0.000803764
3,228.909,0.59831,0.66058,0.84414,0.99147,0.82572,0.91181,0.75008,0.62894,1.54136,0.8694,0.0011909,0.0011909,0.0011909
4,299.797,0.60572,0.64355,0.85495,0.96969,0.96092,0.98791,0.85295,0.52841,0.97309,0.82941,0.0015614,0.0015614,0.0015614
5,371.243,0.55882,0.58065,0.84095,0.96776,0.9597,0.98969,0.87966,0.48038,0.68296,0.82917,0.0018416,0.0018416,0.0018416
6,443.685,0.57964,0.56649,0.84497,0.9764,0.95529,0.98253,0.88801,0.47754,0.59866,0.8303,0.001802,0.001802,0.001802
7,514.992,0.56801,0.54736,0.83975,0.98366,0.95915,0.99228,0.86826,0.52189,0.52193,0.83052,0.0017624,0.0017624,0.0017624
8,586.475,0.52606,0.50564,0.83473,0.9535,0.98345,0.98494,0.92244,0.3962,0.47318,0.81307,0.0017228,0.0017228,0.0017228
9,659.188,0.478,0.47279,0.82756,0.98063,0.97513,0.99245,0.89346,0.42878,0.42724,0.81628,0.0016832,0.0016832,0.0016832
10,731.459,0.45886,0.44729,0.82475,0.97305,0.97869,0.98751,0.90905,0.44143,0.44697,0.82198,0.0016436,0.0016436,0.0016436
11,803.852,0.45746,0.44492,0.82463,0.98199,0.96821,0.99236,0.90689,0.41741,0.43024,0.81336,0.001604,0.001604,0.001604
12,875.65,0.4688,0.43387,0.8201,0.97676,0.97038,0.9929,0.89653,0.48198,0.41268,0.82322,0.0015644,0.0015644,0.0015644
13,947.623,0.4621,0.4205,0.82261,0.98333,0.97158,0.99273,0.9156,0.41995,0.40539,0.81431,0.0015248,0.0015248,0.0015248
14,1019.51,0.43052,0.40558,0.81402,0.97685,0.97691,0.99268,0.92014,0.39269,0.37495,0.81317,0.0014852,0.0014852,0.0014852
15,1090.94,0.46618,0.41917,0.82225,0.96756,0.98401,0.99277,0.91247,0.41499,0.39382,0.81662,0.0014456,0.0014456,0.0014456
16,1162.25,0.43903,0.40087,0.81797,0.9771,0.97513,0.99244,0.94184,0.34565,0.34644,0.80429,0.001406,0.001406,0.001406
17,1232.98,0.40549,0.3748,0.81585,0.97844,0.96718,0.99174,0.93127,0.34604,0.35997,0.80865,0.0013664,0.0013664,0.0013664
18,1304.41,0.4048,0.36925,0.81341,0.97501,0.97033,0.99165,0.92558,0.35661,0.35906,0.80519,0.0013268,0.0013268,0.0013268
19,1375.05,0.39806,0.36113,0.81204,0.97032,0.98715,0.99303,0.94734,0.34937,0.32081,0.80337,0.0012872,0.0012872,0.0012872
20,1447.1,0.39062,0.35126,0.81429,0.96126,0.98401,0.99169,0.93527,0.35788,0.33761,0.80738,0.0012476,0.0012476,0.0012476
21,1519.58,0.38642,0.33918,0.8109,0.96539,0.97869,0.99282,0.9433,0.32154,0.32088,0.80578,0.001208,0.001208,0.001208
22,1592.1,0.38272,0.34258,0.80625,0.97494,0.96755,0.99138,0.94917,0.33157,0.34139,0.80243,0.0011684,0.0011684,0.0011684
23,1664.26,0.38215,0.33642,0.80482,0.98974,0.95737,0.993,0.93167,0.37139,0.33675,0.80461,0.0011288,0.0011288,0.0011288
24,1736.27,0.39116,0.33282,0.80959,0.98094,0.96625,0.99249,0.95944,0.30291,0.31253,0.80057,0.0010892,0.0010892,0.0010892
25,1808.38,0.36869,0.32439,0.80834,0.98724,0.96161,0.992,0.95119,0.30706,0.32092,0.80146,0.0010496,0.0010496,0.0010496
26,1879.39,0.36054,0.31385,0.80199,0.9822,0.96625,0.99206,0.93351,0.32419,0.30893,0.80502,0.00101,0.00101,0.00101
27,1950.46,0.35874,0.3059,0.80228,0.98731,0.96699,0.99297,0.95581,0.3051,0.3177,0.79898,0.0009704,0.0009704,0.0009704
28,2021.66,0.34158,0.30171,0.79873,0.96748,0.98401,0.99325,0.95255,0.34018,0.30364,0.80311,0.0009308,0.0009308,0.0009308
29,2092.4,0.34581,0.29801,0.79997,0.9701,0.97956,0.99281,0.97045,0.26998,0.27482,0.79587,0.0008912,0.0008912,0.0008912
30,2163.27,0.34785,0.29878,0.80178,0.97591,0.9698,0.98847,0.95395,0.28535,0.29244,0.79587,0.0008516,0.0008516,0.0008516
31,2234.02,0.34333,0.29203,0.80083,0.98115,0.96803,0.99122,0.95266,0.30403,0.27479,0.79847,0.000812,0.000812,0.000812
32,2304.15,0.3389,0.29097,0.80382,0.98042,0.97831,0.99203,0.96536,0.29876,0.2816,0.79864,0.0007724,0.0007724,0.0007724
33,2374.68,0.34051,0.28985,0.80382,0.99266,0.96052,0.98826,0.95334,0.30823,0.31231,0.80304,0.0007328,0.0007328,0.0007328
34,2445.11,0.32968,0.28753,0.79755,0.99098,0.9759,0.99167,0.9576,0.28971,0.28011,0.79714,0.0006932,0.0006932,0.0006932
35,2515.7,0.32127,0.28006,0.79608,0.977,0.98104,0.99071,0.96605,0.27948,0.27742,0.79954,0.0006536,0.0006536,0.0006536
36,2586.13,0.32293,0.28335,0.79736,0.98903,0.97158,0.99267,0.96125,0.26807,0.26048,0.79505,0.000614,0.000614,0.000614
37,2656.83,0.32383,0.2776,0.80151,0.99427,0.9627,0.99279,0.96177,0.26274,0.25623,0.79543,0.0005744,0.0005744,0.0005744
38,2727.61,0.31916,0.27352,0.79665,0.99085,0.96135,0.98816,0.95865,0.26694,0.26823,0.7938,0.0005348,0.0005348,0.0005348
39,2798.04,0.3251,0.27186,0.80134,0.98484,0.9698,0.98725,0.96245,0.25991,0.26462,0.79397,0.0004952,0.0004952,0.0004952
40,2868.65,0.32189,0.27042,0.79996,0.99148,0.96625,0.98774,0.95859,0.28334,0.26135,0.79701,0.0004556,0.0004556,0.0004556
41,2938.77,0.28353,0.25198,0.7829,0.9885,0.96625,0.99211,0.95377,0.29053,0.26769,0.79782,0.000416,0.000416,0.000416
42,3007.86,0.28347,0.24843,0.77543,0.98723,0.96135,0.99298,0.96147,0.27918,0.25098,0.79526,0.0003764,0.0003764,0.0003764
43,3077.78,0.27881,0.2479,0.78044,0.98695,0.9698,0.99264,0.96841,0.26434,0.26101,0.79186,0.0003368,0.0003368,0.0003368
44,3146.85,0.27152,0.24139,0.77527,0.98506,0.97158,0.99164,0.96263,0.26966,0.27871,0.79559,0.0002972,0.0002972,0.0002972
45,3216.52,0.26284,0.2343,0.77742,0.98794,0.97158,0.99101,0.96552,0.26647,0.26288,0.79738,0.0002576,0.0002576,0.0002576
46,3286.24,0.26175,0.22835,0.77606,0.98446,0.97158,0.99157,0.97031,0.25465,0.26094,0.79598,0.000218,0.000218,0.000218
47,3356.35,0.25819,0.22507,0.77235,0.989,0.97336,0.99222,0.96597,0.26275,0.25532,0.7969,0.0001784,0.0001784,0.0001784
48,3425.95,0.25505,0.22295,0.77328,0.98555,0.96906,0.99032,0.96683,0.25714,0.25966,0.79653,0.0001388,0.0001388,0.0001388
49,3495.83,0.24795,0.21618,0.77556,0.97691,0.97708,0.99096,0.96898,0.24732,0.24625,0.79518,9.92e-05,9.92e-05,9.92e-05
50,3566.84,0.24624,0.21484,0.77665,0.97695,0.97847,0.99105,0.96955,0.24568,0.24632,0.79586,5.96e-05,5.96e-05,5.96e-05
