epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,544.085,0.6112,0.54263,0.85478,0.97615,0.96591,0.97408,0.78912,0.73059,0.56851,0.91894,0.0011882,0.0011882,0.0011882
43,556.336,0.60951,0.53869,0.8528,0.97725,0.97637,0.97455,0.79776,0.68586,0.56425,0.91187,0.0011684,0.0011684,0.0011684
44,568.576,0.55244,0.57825,0.82631,0.97642,0.96591,0.97305,0.78958,0.70902,0.53416,0.91018,0.0011486,0.0011486,0.0011486
45,580.841,0.609,0.55521,0.855,0.97569,0.97727,0.97235,0.78868,0.69739,0.52908,0.90386,0.0011288,0.0011288,0.0011288
46,593.054,0.58809,0.55831,0.83182,0.97719,0.97349,0.97215,0.78732,0.73024,0.55738,0.90942,0.001109,0.001109,0.001109
47,605.444,0.54887,0.55062,0.84543,0.96325,0.96591,0.96904,0.77975,0.7765,0.57556,0.91227,0.0010892,0.0010892,0.0010892
48,617.634,0.58123,0.56047,0.84466,0.96365,0.95455,0.97484,0.80655,0.74476,0.55054,0.9023,0.0010694,0.0010694,0.0010694
49,629.821,0.58394,0.55319,0.83704,0.96404,0.95455,0.97186,0.81629,0.70956,0.54328,0.89388,0.0010496,0.0010496,0.0010496
50,642.172,0.5889,0.51769,0.82846,0.96377,0.95455,0.97214,0.80638,0.68601,0.53771,0.89277,0.0010298,0.0010298,0.0010298
51,654.403,0.54088,0.50466,0.82367,0.9742,0.95455,0.97438,0.80024,0.69538,0.52574,0.89612,0.00101,0.00101,0.00101
52,666.601,0.56012,0.49927,0.8351,0.98819,0.95125,0.97734,0.80354,0.68149,0.50875,0.89418,0.0009902,0.0009902,0.0009902
53,678.822,0.50751,0.49376,0.81543,0.98821,0.95235,0.97894,0.81232,0.67668,0.49634,0.89056,0.0009704,0.0009704,0.0009704
54,691.071,0.54595,0.49767,0.83891,0.98822,0.95335,0.97927,0.81087,0.69992,0.50267,0.89369,0.0009506,0.0009506,0.0009506
55,703.296,0.53242,0.49685,0.83604,0.98822,0.95327,0.98029,0.81101,0.72571,0.50181,0.89867,0.0009308,0.0009308,0.0009308
56,715.48,0.52625,0.51638,0.82833,0.97525,0.95455,0.97944,0.80953,0.71945,0.49801,0.90041,0.000911,0.000911,0.000911
57,727.745,0.5392,0.48352,0.81948,0.96589,0.96541,0.97499,0.81109,0.68327,0.4857,0.89654,0.0008912,0.0008912,0.0008912
58,740.109,0.52652,0.46477,0.82702,0.96402,0.96591,0.9725,0.80837,0.67965,0.48329,0.89685,0.0008714,0.0008714,0.0008714
59,752.339,0.52109,0.50999,0.82026,0.96624,0.97565,0.9733,0.80286,0.70433,0.49292,0.90578,0.0008516,0.0008516,0.0008516
60,764.617,0.51989,0.46229,0.82897,0.96627,0.97655,0.97552,0.80747,0.70947,0.5065,0.91101,0.0008318,0.0008318,0.0008318
61,776.796,0.48523,0.45417,0.82839,0.97557,0.96591,0.9766,0.81399,0.68306,0.48994,0.9028,0.000812,0.000812,0.000812
62,788.964,0.51834,0.48374,0.84302,0.97535,0.96591,0.97599,0.81033,0.65836,0.48187,0.89828,0.0007922,0.0007922,0.0007922
63,801.377,0.51475,0.45876,0.83475,0.97672,0.96591,0.97366,0.81204,0.66534,0.50048,0.89391,0.0007724,0.0007724,0.0007724
64,813.557,0.50843,0.46967,0.83556,0.97625,0.96591,0.97191,0.80121,0.706,0.50084,0.90473,0.0007526,0.0007526,0.0007526
65,825.728,0.51866,0.46995,0.82747,0.97628,0.96591,0.96866,0.80966,0.67788,0.48461,0.90385,0.0007328,0.0007328,0.0007328
66,837.918,0.48015,0.46577,0.8122,0.974,0.96591,0.96788,0.81484,0.63987,0.4647,0.89268,0.000713,0.000713,0.000713
67,850.139,0.541,0.44884,0.82793,0.96471,0.96591,0.97169,0.81397,0.65083,0.46246,0.89434,0.0006932,0.0006932,0.0006932
